No_facc         ,Falta_fac ,Tiponcc     ,Cve_prov,Saldo_fac           ,Nom_prov                                                                                                                                                                                                                                                      ,Falta_prov,Lim_cre     ,Dia_cre,Tels                           ,Cve_mon   ,U_tip_cam ,Des_mon                                                                         ,Ident,Grup,Post,Fech_venci,Tiponota    ,Cve_comp  ,Nom_comp                                ,Total_fac           ,Afectbanco,Fenmarca,Total1              ,Total2              ,Total3              ,Total4              ,Total5              ,Concepto       ,Cve_iva   ,No_pedc   ,No_facc_ext001  
FAM69           ,27/12/2023,            ,1878,1350,2G NUTRITION SAS DE CV                                                                                                                                                                                                                                        ,08/12/2020,0,15,1605-6982                      ,1,16.9738,PESOS                                                                           ,FAC  ,1,0,11/01/2024,            ,10,Jessica Fonseca                         ,37175,F         ,0,0,0,1350,0,0,Factura        ,NAL       ,0,FAM69           
52705MBRFQ      ,20/02/2023,            ,1523,434,"ABASTECEDORA LUMEN, S.A DE C.V                                                                                                                                                                                                                                ",26/04/2019,0,0,-33,1,18.4142,PESOS                                                                           ,FAC  ,1,0,23/02/2023,            ,          ,                                        ,434,F         ,0,0,0,0,0,434,Factura        ,GTO       ,0,52705MBRFQ      
52713MBRFQ      ,21/02/2023,            ,1523,351,"ABASTECEDORA LUMEN, S.A DE C.V                                                                                                                                                                                                                                ",26/04/2019,0,0,-33,1,18.397,PESOS                                                                           ,FAC  ,1,0,23/02/2023,            ,          ,                                        ,351,F         ,0,0,0,0,0,351,Factura        ,GTO       ,0,52713MBRFQ      
48201,23/12/2022,            ,749,1541.18,ACERO OFERTAS DE OCCIDENTE S.A. DE C.V.                                                                                                                                                                                                                       ,11/09/2017,0,0,3364-7035 -                    ,1,19.4143,PESOS                                                                           ,FAC  ,1,0,29/12/2022,            ,          ,                                        ,1541.18,F         ,0,0,0,0,0,1541.18,Factura        ,GTO       ,0,48201
FAC4264         ,08/02/2023,            ,2133,779.52,ADSORBENTES Y ANTICORROSIVOS INDUSTRIALES SA DE CV                                                                                                                                                                                                            ,25/03/2022,2000000,60,1535-8239                      ,2,19.0517,DOLARES                                                                         ,FAC  ,1,0,15/04/2023,            ,14,ELISEO ROSAS TORRES                     ,779.52,F         ,0,0,0,0,0,14851.18118,Factura        ,MATEMP    ,0,FAC4264         
4574,13/04/2023,            ,2133,1091.33,ADSORBENTES Y ANTICORROSIVOS INDUSTRIALES SA DE CV                                                                                                                                                                                                            ,25/03/2022,2000000,60,1535-8239                      ,2,18.187,DOLARES                                                                         ,FAC  ,1,0,12/06/2023,            ,14,ELISEO ROSAS TORRES                     ,1091.33,F         ,0,0,0,0,0,19848.01871,Factura        ,MATEMP    ,0,4574
FAC4722         ,15/05/2023,            ,2133,1091.33,ADSORBENTES Y ANTICORROSIVOS INDUSTRIALES SA DE CV                                                                                                                                                                                                            ,25/03/2022,2000000,60,1535-8239                      ,2,17.6287,DOLARES                                                                         ,FAC  ,1,0,14/07/2023,            ,14,ELISEO ROSAS TORRES                     ,1091.33,F         ,0,0,0,0,0,19238.72917,Factura        ,MATEMP    ,0,FAC4722         
97978,24/11/2023,            ,2335,6300,ADVANTECH SERVICIOS FINANCIEROS                                                                                                                                                                                                                               ,29/08/2023,0,0,-33,1,17.2133,PESOS                                                                           ,FAC  ,1,0,24/11/2023,            ,4,CONTABILIDAD                            ,6300,F         ,0,0,0,0,0,6300,Factura        ,GTO       ,0,97978
28677,17/10/2023,            ,16,858.4,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,18.0362,DOLARES                                                                         ,FAC  ,1,0,16/12/2023,            ,10,Jessica Fonseca                         ,858.4,F         ,0,0,0,0,0,15482.27408,Factura        ,NAL       ,0,28677
28678,17/10/2023,            ,16,4785,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,18.0362,DOLARES                                                                         ,FAC  ,1,0,16/12/2023,            ,10,Jessica Fonseca                         ,4785,F         ,0,0,0,0,0,86303.217,Factura        ,NAL       ,0,28678
